miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR30A	MIR30D	GIGYF1	GIGYF2
MIR30A	MIR30D	FAM117B	GLCCI1
MIR30A	MIR30D	ARID4B	ARID4A
MIR30A	MIR30D	RCOR1	RCOR3
MIR30A	MIR30D	BRWD3	PHIP
MIR30A	MIR30D	BRWD3	BRWD1
MIR30A	MIR30D	PLAG1	PLAGL2
MIR30A	MIR30D	TET3	TET2
MIR30A	MIR30D	SOCS1	SOCS3
MIR30A	MIR30D	TMEM87A	TMEM87B
MIR30A	MIR30D	TAOK1	TAOK3
MIR30A	MIR30D	DDX5	DDX17
MIR30A	MIR30D	PHIP	BRWD1
MIR30A	MIR30D	PIP4K2A	PIP4K2B
MIR30E	MIR30D	CRMP1	DPYSL2
MIR30E	MIR30D	ATL3	ATL2
MIR30E	MIR30D	GIGYF1	GIGYF2
MIR30E	MIR30D	FAM117B	GLCCI1
MIR30E	MIR30D	RCOR1	RCOR3
MIR30E	MIR30D	BRWD3	BRWD1
MIR30E	MIR30D	PLAG1	PLAGL2
MIR30E	MIR30D	TET3	TET2
MIR30E	MIR30D	SOCS1	SOCS3
MIR30E	MIR30D	TMEM87A	TMEM87B
MIR30E	MIR30D	TAOK1	TAOK3
MIR30E	MIR30D	DDX5	DDX17
MIR30E	MIR30D	PIP4K2A	PIP4K2B
MIR30B	MIR30C1	GIGYF1	GIGYF2
MIR30B	MIR30C1	RRM2B	RRM2
MIR30B	MIR30C1	RCOR1	RCOR3
MIR30B	MIR30C1	BRWD3	PHIP
MIR30B	MIR30C1	BRWD3	BRWD1
MIR30B	MIR30C1	SOCS1	SOCS3
MIR30B	MIR30C1	TAOK1	TAOK3
MIR30B	MIR30C1	PHIP	BRWD1
MIR30B	MIR30C2	GIGYF1	GIGYF2
MIR30B	MIR30C2	RRM2B	RRM2
MIR30B	MIR30C2	RCOR1	RCOR3
MIR30B	MIR30C2	BRWD3	PHIP
MIR30B	MIR30C2	BRWD3	BRWD1
MIR30B	MIR30C2	SOCS1	SOCS3
MIR30B	MIR30C2	TAOK1	TAOK3
MIR30B	MIR30C2	PHIP	BRWD1
MIR30C1	MIR30C2	MLXIPL	MLXIP
MIR30C1	MIR30C2	GIGYF1	GIGYF2
MIR30C1	MIR30C2	RRM2B	RRM2
MIR30C1	MIR30C2	RCOR1	RCOR3
MIR30C1	MIR30C2	BRWD3	PHIP
MIR30C1	MIR30C2	BRWD3	BRWD1
MIR30C1	MIR30C2	SOCS1	SOCS3
MIR30C1	MIR30C2	TAOK1	TAOK3
MIR30C1	MIR30C2	PHIP	BRWD1
MIR30C1	MIR30C2	SERPINE1	SERPINH1
MIR33A	MIR33B	PURB	PURA
MIR33A	MIR33B	TNRC6C	TNRC6A
MIR25	MIR363	ITGA5	ITGAV
MIR365A	MIR365B	CHD6	CHD8
MIR365A	MIR365B	TMX4	TMX1
MIR7-1	MIR7-3	B4GALT5	B4GALT6
MIR7-1	MIR7-3	NFIA	NFIC
MIR7-1	MIR7-2	B4GALT5	B4GALT6
MIR7-1	MIR7-2	NFIA	NFIC
MIR7-1	MIR7-2	G3BP2	G3BP1
MIR7-3	MIR7-2	B4GALT5	B4GALT6
MIR7-3	MIR7-2	NFIA	NFIC
MIR92A1	MIR92A2	HIPK1	HIPK3
MIR92A1	MIR92A2	SCD5	SCD
MIR92A1	MIR92A2	ITGA5	ITGAV
MIR92A1	MIR92A2	ZNF703	ZNF503
MIR92A1	MIR92A2	ZNF470	ZNF91
MIR92A1	MIR92A2	ZNF470	ZNF420
MIR92A1	MIR92A2	CPEB3	CPEB4
MIR92A1	MIR92A2	CPEB3	CPEB2
MIR92A1	MIR92A2	FBN1	FBN2
MIR92A1	MIR92A2	LDLR	VLDLR
MIR92A1	MIR92A2	CPEB4	CPEB2
MIR92A1	MIR92B	ZNF470	ZNF91
MIR92A1	MIR92B	FBN1	FBN2
MIR92A1	MIR92B	CPEB4	CPEB2
MIR92A2	MIR92B	ZNF470	ZNF91
MIR92A2	MIR92B	FBN1	FBN2
MIR92A2	MIR92B	CPEB4	CPEB2
MIR9-1	MIR9-2	DIP2B	DIP2C
MIR9-1	MIR9-2	ATL3	ATL2
MIR9-1	MIR9-2	SFT2D2	SFT2D1
MIR9-1	MIR9-2	TNRC6C	TNRC6A
MIR9-1	MIR9-2	HNRNPU	HNRNPUL1
MIR9-1	MIR9-2	HIF1A	EPAS1
MIR9-1	MIR9-2	POU2F2	POU2F1
MIR9-1	MIR9-2	ANKRD28	ANKRD52
MIR9-1	MIR9-2	BIRC3	XIAP
MIR9-1	MIR9-2	PHF19	MTF2
MIR9-1	MIR9-2	KDELR1	KDELR2
MIR9-1	MIR9-2	FRMD5	FRMD3
MIR9-1	MIR9-2	FURIN	PCSK1
MIR9-1	MIR9-2	CHD7	CHD9
MIR9-1	MIR9-3	DIP2B	DIP2C
MIR9-1	MIR9-3	ATL3	ATL2
MIR9-1	MIR9-3	SFT2D2	SFT2D1
MIR9-1	MIR9-3	TNRC6C	TNRC6A
MIR9-1	MIR9-3	HNRNPU	HNRNPUL1
MIR9-1	MIR9-3	HIF1A	EPAS1
MIR9-1	MIR9-3	POU2F2	POU2F1
MIR9-1	MIR9-3	ANKRD28	ANKRD52
MIR9-1	MIR9-3	BIRC3	XIAP
MIR9-1	MIR9-3	PHF19	MTF2
MIR9-1	MIR9-3	KDELR1	KDELR2
MIR9-1	MIR9-3	FRMD5	FRMD3
MIR9-1	MIR9-3	FURIN	PCSK1
