miRNA_1	miRNA_2	target
MIR103A1	MIR103A2	MAB21L2
MIR103A1	MIR103A2	CC2D1B
MIR103A1	MIR103A2	SALL4
MIR103A1	MIR103A2	PNISR
MIR103A1	MIR103A2	DICER1
MIR103A1	MIR103A2	RNF38
MIR103A1	MIR103A2	SGCD
MIR103A1	MIR103A2	NPAS2
MIR103A1	MIR103A2	SNX3
MIR103A1	MIR103A2	PHYHIPL
MIR103A1	MIR103A2	OXTR
MIR103A1	MIR103A2	ATL2
MIR103A1	MIR103A2	ASH1L
MIR103A1	MIR103A2	NFIA
MIR103A1	MIR103A2	YTHDC1
MIR103A1	MIR103A2	RCAN1
MIR103A1	MIR103A2	CALN1
MIR103A1	MIR103A2	SLC20A2
MIR103A1	MIR103A2	FGF2
MIR103A1	MIR103A2	N4BP1
MIR103A1	MIR103A2	ZHX1
MIR103A1	MIR103A2	CHIC1
MIR103A1	MIR103A2	EZH1
MIR103A1	MIR103A2	ACVR2B
MIR103A1	MIR103A2	PDE3B
MIR103A1	MIR103A2	CUL4A
MIR103A1	MIR103A2	PRRT2
MIR103A1	MIR103A2	YWHAH
MIR103A1	MIR103A2	FLOT2
MIR103A1	MIR103A2	HACD2
MIR103A1	MIR103A2	ZNF654
MIR103A1	MIR103A2	MFN2
MIR103A1	MIR103A2	MSRB3
MIR103A1	MIR103A2	CAB39
MIR103A1	MIR103A2	PDE3A
MIR103A1	MIR103A2	ESR1
MIR103A1	MIR103A2	ANK3
MIR103A1	MIR103A2	RUNX1T1
MIR103A1	MIR103A2	ONECUT2
MIR103A1	MIR103A2	FBXO10
MIR103A1	MIR103A2	NAV1
MIR103A1	MIR103A2	GPCPD1
MIR103A1	MIR103A2	PRKG1
MIR103A1	MIR103A2	MYBL1
MIR103A1	MIR103A2	RPS6KA3
MIR103A1	MIR103A2	PLEKHA1
MIR103A1	MIR103A2	RAP2C
MIR103A1	MIR103A2	GSKIP
MIR103A1	MIR103A2	CLOCK
MIR103A1	MIR103A2	SMAD2
MIR103A1	MIR103A2	KIF21A
MIR103A1	MIR103A2	NOVA1
MIR103A1	MIR103A2	CYLD
MIR103A1	MIR103A2	SNRK
MIR103A1	MIR103A2	CACNA2D1
MIR103A1	MIR103A2	TMEM260
MIR103A1	MIR103A2	NAA50
MIR103A1	MIR103A2	SLC35G1
MIR103A1	MIR103A2	PIK3R1
MIR103A1	MIR103A2	SPATS2L
MIR103A1	MIR103A2	CHD2
MIR103A1	MIR103A2	MAN2A1
MIR103A1	MIR103A2	NR4A3
MIR103A1	MIR103A2	UPF2
MIR103A1	MIR103A2	IGF2R
MIR103A1	MIR103A2	JAKMIP2
MIR103A1	MIR103A2	SATB2
MIR103A1	MIR103A2	LCOR
MIR103A1	MIR103A2	ZFP91
MIR103A1	MIR103A2	APOL6
MIR103A1	MIR103A2	NF1
MIR103A1	MIR103A2	BDNF
MIR103A1	MIR103A2	RBM24
MIR103A1	MIR103A2	ZCCHC2
MIR103A1	MIR103A2	NPAS3
MIR103A1	MIR103A2	MBNL2
MIR103A1	MIR103A2	EIF5
MIR103A1	MIR103A2	SCN8A
MIR103A1	MIR103A2	GABRG2
MIR103A1	MIR103A2	GPR26
