miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR514A2	MIR514A2	SCN2A	SCN3A
MIR514A2	MIR514A3	CUL2	CUL3
MIR514A2	MIR514A3	SCN2A	SCN3A
MIR514A3	MIR514A3	CUL2	CUL3
MIR514A3	MIR514A3	SCN2A	SCN3A
MIR550A1	MIR550A2	MEIS1	PBX1
MIR550A1	MIR550A2	DMD	DTNA
MIR550A1	MIR550A2	ITGA2	ITGA1
MIR550A1	MIR550A2	MAGEA6	MAGEA12
MIR550A1	MIR550A2	MAGEA6	MAGEA3
MIR550A1	MIR550A2	SMAD4	SMAD5
MIR550A1	MIR550A2	GABRA4	GABRB3
MIR550A1	MIR550A2	MAGEA3	MAGEA12
MIR550A1	MIR550B2	MEIS1	PBX1
MIR550A1	MIR550B2	DMD	DTNA
MIR550A1	MIR550B2	ITGA2	ITGA1
MIR550A1	MIR550B2	MAGEA6	MAGEA12
MIR550A1	MIR550B2	MAGEA6	MAGEA3
MIR550A1	MIR550B2	SMAD4	SMAD5
MIR550A1	MIR550B2	GABRA4	GABRB3
MIR550A1	MIR550B2	MAGEA3	MAGEA12
MIR550A2	MIR550B1	MEIS1	PBX1
MIR550A2	MIR550B1	DMD	DTNA
MIR550A2	MIR550B1	ITGA2	ITGA1
MIR550A2	MIR550B1	MAGEA6	MAGEA12
MIR550A2	MIR550B1	MAGEA6	MAGEA3
MIR550A2	MIR550B1	SMAD4	SMAD5
MIR550A2	MIR550B1	GABRA4	GABRB3
MIR550A2	MIR550B1	MAGEA3	MAGEA12
MIR550B2	MIR550B1	MEIS1	PBX1
MIR550B2	MIR550B1	DMD	DTNA
MIR550B2	MIR550B1	ITGA2	ITGA1
MIR550B2	MIR550B1	MAGEA6	MAGEA12
MIR550B2	MIR550B1	MAGEA6	MAGEA3
MIR550B2	MIR550B1	SMAD4	SMAD5
MIR550B2	MIR550B1	GABRA4	GABRB3
MIR550B2	MIR550B1	MAGEA3	MAGEA12
MIR98	MIRLET7A1	TGFBR1	ACVR2B
MIR98	MIRLET7A1	ACVR1C	ACVR2B
MIR98	MIRLET7A3	TGFBR1	ACVR2B
MIR98	MIRLET7A3	ACVR1C	ACVR2B
MIRLET7A1	MIRLET7B	COL3A1	COL11A1
MIRLET7A1	MIRLET7B	COL11A1	COL1A2
MIRLET7A1	MIRLET7F1	COL11A1	COL1A2
MIRLET7A1	MIRLET7F1	TGFBR1	ACVR2B
MIRLET7A1	MIRLET7F1	ACVR1C	ACVR2B
MIRLET7A3	MIRLET7B	COL3A1	COL11A1
MIRLET7A3	MIRLET7B	COL11A1	COL1A2
MIRLET7A3	MIRLET7F1	COL11A1	COL1A2
MIRLET7A3	MIRLET7F1	TGFBR1	ACVR2B
MIRLET7A3	MIRLET7F1	ACVR1C	ACVR2B
