miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR1323	MIR526A1	not_in_G	not_in_G
MIR1323	MIR526A2	not_in_G	not_in_G
MIR1323	MIR526B	not_in_G	not_in_G
MIR1323	MIR527	not_in_G	not_in_G
MIR302A	MIR498	not_in_G	not_in_G
MIR302A	MIR515-1	not_in_G	not_in_G
MIR302A	MIR515-2	not_in_G	not_in_G
MIR302A	MIR517A	not_in_G	not_in_G
MIR302A	MIR517B	not_in_G	not_in_G
MIR302A	MIR517C	not_in_G	not_in_G
MIR302A	MIR519E	not_in_G	not_in_G
MIR302A	MIR520B	not_in_G	not_in_G
MIR302A	MIR520E	not_in_G	not_in_G
MIR302A	MIR520F	not_in_G	not_in_G
MIR302A	MIR520G	not_in_G	not_in_G
MIR302A	MIR524	not_in_G	not_in_G
MIR302A	MIR526A1	not_in_G	not_in_G
MIR302A	MIR526A2	not_in_G	not_in_G
MIR302B	MIR498	not_in_G	not_in_G
MIR302B	MIR515-1	not_in_G	not_in_G
MIR302B	MIR515-2	not_in_G	not_in_G
MIR302B	MIR517A	not_in_G	not_in_G
MIR302B	MIR517B	not_in_G	not_in_G
MIR302B	MIR517C	not_in_G	not_in_G
MIR302B	MIR519E	not_in_G	not_in_G
MIR302B	MIR520B	not_in_G	not_in_G
MIR302B	MIR520E	not_in_G	not_in_G
MIR302B	MIR520F	not_in_G	not_in_G
MIR302B	MIR520G	not_in_G	not_in_G
MIR302B	MIR524	not_in_G	not_in_G
MIR302B	MIR526A1	not_in_G	not_in_G
MIR302B	MIR526A2	not_in_G	not_in_G
MIR302C	MIR498	not_in_G	not_in_G
MIR302C	MIR515-1	not_in_G	not_in_G
MIR302C	MIR515-2	not_in_G	not_in_G
MIR302C	MIR517A	not_in_G	not_in_G
MIR302C	MIR517B	not_in_G	not_in_G
MIR302C	MIR517C	not_in_G	not_in_G
MIR302C	MIR519E	not_in_G	not_in_G
MIR302C	MIR520B	not_in_G	not_in_G
MIR302C	MIR520E	not_in_G	not_in_G
MIR302C	MIR520F	not_in_G	not_in_G
MIR302C	MIR520G	not_in_G	not_in_G
MIR302C	MIR524	not_in_G	not_in_G
MIR302C	MIR526A1	not_in_G	not_in_G
MIR302C	MIR526A2	not_in_G	not_in_G
MIR302D	MIR498	not_in_G	not_in_G
MIR302D	MIR515-1	not_in_G	not_in_G
MIR302D	MIR515-2	not_in_G	not_in_G
MIR302D	MIR517A	not_in_G	not_in_G
MIR302D	MIR517B	not_in_G	not_in_G
MIR302D	MIR517C	not_in_G	not_in_G
MIR302D	MIR519E	not_in_G	not_in_G
MIR302D	MIR520B	not_in_G	not_in_G
MIR302D	MIR520E	not_in_G	not_in_G
MIR302D	MIR520F	not_in_G	not_in_G
MIR302D	MIR520G	not_in_G	not_in_G
MIR302D	MIR524	not_in_G	not_in_G
MIR302D	MIR526A1	not_in_G	not_in_G
MIR302D	MIR526A2	not_in_G	not_in_G
MIR371A	MIR498	not_in_G	not_in_G
MIR371A	MIR515-1	not_in_G	not_in_G
MIR371A	MIR515-2	not_in_G	not_in_G
MIR371A	MIR517A	not_in_G	not_in_G
MIR371A	MIR517B	not_in_G	not_in_G
MIR371A	MIR517C	not_in_G	not_in_G
MIR371A	MIR519E	not_in_G	not_in_G
MIR371A	MIR520B	not_in_G	not_in_G
MIR371A	MIR520E	not_in_G	not_in_G
MIR371A	MIR520F	not_in_G	not_in_G
MIR371A	MIR520G	not_in_G	not_in_G
MIR371A	MIR524	not_in_G	not_in_G
MIR371A	MIR526A1	not_in_G	not_in_G
MIR371A	MIR526A2	not_in_G	not_in_G
MIR372	MIR498	not_in_G	not_in_G
MIR372	MIR515-1	not_in_G	not_in_G
MIR372	MIR515-2	not_in_G	not_in_G
MIR372	MIR517A	not_in_G	not_in_G
MIR372	MIR517B	not_in_G	not_in_G
MIR372	MIR517C	not_in_G	not_in_G
MIR372	MIR519E	not_in_G	not_in_G
MIR372	MIR520B	not_in_G	not_in_G
MIR372	MIR520E	not_in_G	not_in_G
MIR372	MIR520F	not_in_G	not_in_G
MIR372	MIR520G	not_in_G	not_in_G
MIR372	MIR524	not_in_G	not_in_G
MIR372	MIR526A1	not_in_G	not_in_G
MIR372	MIR526A2	not_in_G	not_in_G
MIR373	MIR498	not_in_G	not_in_G
MIR373	MIR515-1	not_in_G	not_in_G
MIR373	MIR515-2	not_in_G	not_in_G
MIR373	MIR517A	not_in_G	not_in_G
MIR373	MIR517B	not_in_G	not_in_G
MIR373	MIR517C	not_in_G	not_in_G
MIR373	MIR519E	not_in_G	not_in_G
MIR373	MIR520B	not_in_G	not_in_G
