miRNA_1	miRNA_2	target
MIR106A	MIR20A	WDR33
MIR106A	MIR20A	GGNBP2
MIR106A	MIR20A	LAMTOR1
MIR106A	MIR20A	RPS6KA2
MIR106A	MIR20A	C14orf159
MIR106A	MIR20A	NFIB
MIR106A	MIR20A	IRF1
MIR106A	MIR20A	GIGYF1
MIR106A	MIR20A	VAPB
MIR106A	MIR20A	ZFYVE26
MIR106A	MIR20A	UBR4
MIR106A	MIR20A	MAST2
MIR106A	MIR20A	LPXN
MIR106A	MIR20A	TBC1D9
MIR106A	MIR20A	BMPR2
MIR106A	MIR20A	SEC14L1
MIR106A	MIR20A	CCNG2
MIR106A	MIR20A	NCOA3
MIR106A	MIR20A	ENPP5
MIR106A	MIR20A	USP3
MIR106A	MIR20A	MRPL10
MIR106A	MIR20A	FAM91A1
MIR106A	MIR20A	LZIC
MIR106A	MIR20A	GSPT1
MIR106A	MIR20A	ADNP
MIR106A	MIR20A	SGMS1
MIR106A	MIR20A	TPP1
MIR106A	MIR20A	MOB1A
MIR106A	MIR20A	HIPK1
MIR106A	MIR20A	ZNFX1
MIR106A	MIR20A	NLK
MIR106A	MIR20A	MOB1B
MIR106A	MIR20A	TAGAP
MIR106A	MIR20A	CHD4
MIR106A	MIR20A	KDM4A
MIR106A	MIR20A	TAOK3
MIR106A	MIR20A	UBE3C
MIR106A	MIR20A	CCND2
MIR106A	MIR20A	FAM126B
MIR106A	MIR20A	FEM1C
MIR106A	MIR20A	MAP3K8
MIR106A	MIR20A	ANKRD11
MIR106A	MIR20A	KLHL18
MIR106A	MIR20A	CCND1
MIR106A	MIR20A	ZNF81
MIR106A	MIR20A	ZC3H12C
MIR106A	MIR20A	ATG16L1
MIR106A	MIR20A	ZBTB33
MIR106A	MIR20A	NIPA1
MIR106A	MIR20A	ULK1
MIR106A	MIR20A	PHF20
MIR106A	MIR20A	ANKIB1
MIR106A	MIR20A	EIF3E
MIR106A	MIR20A	PTPN4
MIR106A	MIR20A	PPP1R12B
MIR106A	MIR20A	RUFY2
MIR106A	MIR20A	NR2C2
MIR106A	MIR20A	EIF3A
MIR106A	MIR20A	DUSP2
MIR106A	MIR20A	ANKRD52
MIR106A	MIR20A	ZNF611
MIR106A	MIR20A	SH3RF1
MIR106A	MIR20A	NBL1
MIR106A	MIR20A	FRMPD4
MIR106A	MIR20A	JAK1
MIR106A	MIR20A	COL4A2
MIR106A	MIR20A	NUPL1
MIR106A	MIR20A	DSTN
MIR106A	MIR20A	PRRX1
MIR106A	MIR20A	NCL
MIR106A	MIR20A	PLXNA1
MIR106A	MIR20A	ZBTB7A
MIR106A	MIR20A	BEND4
MIR106A	MIR20A	KIF3C
MIR106A	MIR20A	PKD2
MIR106A	MIR20A	ZBTB18
MIR106A	MIR20A	ARL6IP1
MIR106A	MIR20A	EXOC6
MIR106A	MIR20A	TNRC6B
MIR106A	MIR20A	CLSTN1
MIR106A	MIR20A	CCDC71L
MIR106A	MIR20A	HBP1
MIR106A	MIR20A	CRTC2
MIR106A	MIR20A	SEPT2
MIR106A	MIR20A	AGFG2
MIR106A	MIR20A	RASA2
MIR106A	MIR20A	FAM222B
MIR106A	MIR20A	ZBTB4
MIR106A	MIR20A	RRM2
MIR106A	MIR20A	ATXN2L
MIR106A	MIR20A	MLXIP
MIR106A	MIR20A	NR2F2
MIR106A	MIR20A	VASH1
MIR106A	MIR20A	DESI2
MIR106A	MIR20A	NHLRC3
MIR106A	MIR20A	ADAR
MIR106A	MIR20A	RPRD2
MIR106A	MIR20A	KPNA2
MIR106A	MIR20A	TRIP10
MIR106A	MIR20A	FLNB
MIR106A	MIR20A	DOCK4
MIR106A	MIR20A	DR1
MIR106A	MIR20A	RASD1
MIR106A	MIR20A	NAPB
MIR106A	MIR20A	FRMD4A
MIR106A	MIR20A	ANKRD12
MIR106A	MIR20A	CRK
MIR106A	MIR20A	REEP3
MIR106A	MIR20A	BTN3A1
MIR106A	MIR20A	BTG3
MIR106A	MIR20A	EIF4G3
MIR106A	MIR20A	RCAN1
MIR106A	MIR20A	STAT3
MIR106A	MIR20A	SBNO1
MIR106A	MIR20A	MSI2
MIR106A	MIR20A	AAK1
MIR106A	MIR20A	KDM6B
MIR106A	MIR20A	ATP6V1G1
MIR106A	MIR20A	LRCH1
MIR106A	MIR20A	ACSL4
MIR106A	MIR20A	WDR37
MIR106A	MIR20A	AAED1
MIR106A	MIR20A	SCAMP2
MIR106A	MIR20A	RB1
MIR106A	MIR20A	FAM199X
MIR106A	MIR20A	ZNF592
MIR106A	MIR20A	GRAMD1A
MIR106A	MIR20A	BNIP2
MIR106A	MIR20A	PSMF1
MIR106A	MIR20A	SESN1
MIR106A	MIR20A	SMU1
MIR106A	MIR20A	NABP1
MIR106A	MIR20A	RAB1A
MIR106A	MIR20A	CAV1
MIR106A	MIR20A	TNFAIP3
MIR106A	MIR20A	CEP350
MIR106A	MIR20A	HYOU1
MIR106A	MIR20A	IER3
MIR106A	MIR20A	HERC2
MIR106A	MIR20A	WDR74
MIR106A	MIR20A	ATL3
MIR106A	MIR20A	PPP6C
MIR106A	MIR20A	NSD1
MIR106A	MIR20A	SPOPL
MIR106A	MIR20A	ERAP1
MIR106A	MIR20A	PUM2
MIR106A	MIR20A	CXCL8
MIR106A	MIR20A	IRS1
MIR106A	MIR20A	LMTK2
MIR106A	MIR20A	IRF9
MIR106A	MIR20A	FLAD1
MIR106A	MIR20A	TBC1D2B
MIR106A	MIR20A	FAM129A
MIR106A	MIR20A	RPL5
MIR106A	MIR20A	STK38
MIR106A	MIR20A	MPRIP
MIR106A	MIR20A	CROT
MIR106A	MIR20A	SEMA7A
MIR106A	MIR20A	MAPK1
MIR106A	MIR20A	LAPTM4A
MIR106A	MIR20A	CCDC137
MIR106A	MIR20A	TRIM8
MIR106A	MIR20A	SASH1
MIR106A	MIR20A	ATP9A
MIR106A	MIR20A	DUSP18
MIR106A	MIR20A	PKD1
MIR106A	MIR20A	DNAJC27
MIR106A	MIR20A	EPAS1
MIR106A	MIR20A	CELF2
MIR106A	MIR20A	FUBP1
MIR106A	MIR20A	NOL9
MIR106A	MIR20A	TUBB4B
MIR106A	MIR20A	ARL9
MIR106A	MIR20A	MAP3K2
MIR106A	MIR20A	MAST4
MIR106A	MIR20A	TP53INP1
MIR106A	MIR20A	UNC119B
MIR106A	MIR20A	IPO9
MIR106A	MIR20A	DNAJC13
MIR106A	MIR20A	MAGT1
MIR106A	MIR20A	PABPC4
MIR106A	MIR20A	KIAA0355
MIR106A	MIR20A	FAM78A
MIR106A	MIR20A	PHACTR2
MIR106A	MIR20A	RHOC
MIR106A	MIR20A	SOD2
MIR106A	MIR20A	RUNX3
MIR106A	MIR20A	ZDHHC20
MIR106A	MIR20A	CSRNP3
MIR106A	MIR20A	NIN
MIR106A	MIR20A	NAP1L1
MIR106A	MIR20A	CLTC
MIR106A	MIR20A	UGCG
MIR106A	MIR20A	PPP6R1
MIR106A	MIR20A	HMGA1
MIR106A	MIR20A	TMEM127
MIR106A	MIR20A	TBC1D20
MIR106A	MIR20A	GBF1
MIR106A	MIR20A	ZNF880
MIR106A	MIR20A	PCYT1A
MIR106A	MIR20A	DCAF10
MIR106A	MIR20A	SIPA1L1
MIR106A	MIR20A	CLIC4
MIR106A	MIR20A	ARRDC3
MIR106A	MIR20A	ADAM9
MIR106A	MIR20A	ZNF827
MIR106A	MIR20A	ARL1
MIR106A	MIR20A	DST
MIR106A	MIR20A	PFKP
MIR106A	MIR20A	DLC1
MIR106A	MIR20A	SFT2D2
MIR106A	MIR20A	SAMD9L
MIR106A	MIR20A	ARL4A
MIR106A	MIR20A	SLC30A1
MIR106A	MIR20A	MIDN
MIR106A	MIR20A	NFIC
MIR106A	MIR20A	DYRK3
MIR106A	MIR20A	RNPS1
MIR106A	MIR20A	PALLD
MIR106A	MIR20A	EMP1
MIR106A	MIR20A	ZMPSTE24
MIR106A	MIR20A	SGTB
MIR106A	MIR20A	CNOT4
MIR106A	MIR20A	CRIM1
MIR106A	MIR20A	WEE1
MIR106A	MIR20A	MKNK2
MIR106A	MIR20A	CSNK1A1
MIR106A	MIR20A	SHOC2
MIR106A	MIR20A	DDX42
MIR106A	MIR20A	FAM167A
MIR106A	MIR20A	IPO7
MIR106A	MIR20A	SNX9
MIR106A	MIR20A	AFF1
MIR106A	MIR20A	APBB2
MIR106A	MIR20A	CRY2
MIR106A	MIR20A	TAL1
MIR106A	MIR20A	DNPH1
MIR106A	MIR20A	EFCAB14
MIR106A	MIR20A	RAB5B
MIR106A	MIR20A	MYO10
MIR106A	MIR20A	MAP3K9
MIR106A	MIR20A	KLF3
MIR106A	MIR20A	PIK3R1
MIR106A	MIR20A	MACF1
MIR106A	MIR20A	ASF1A
MIR106A	MIR20A	CYBRD1
MIR106A	MIR20A	PLEKHO2
MIR106A	MIR20A	NMD3
MIR106A	MIR20A	RIF1
MIR106A	MIR20A	CLIP4
MIR106A	MIR20A	EXOC1
MIR106A	MIR20A	RNF19A
MIR106A	MIR20A	IPO13
MIR106A	MIR20A	SH3PXD2A
MIR106A	MIR20A	EZH1
MIR106A	MIR20A	VEGFA
MIR106A	MIR20A	CTNNB1
MIR106A	MIR20A	DDX39B
MIR106A	MIR20A	STARD7
MIR106A	MIR20A	KCMF1
MIR106A	MIR20A	FRS2
MIR106A	MIR20A	MAP3K11
MIR106A	MIR20A	KLF6
MIR106A	MIR20A	PCDH10
MIR106A	MIR20A	ZNF800
MIR106A	MIR20B	RNH1
MIR106A	MIR20B	TGFBR2
MIR106A	MIR20B	HECTD1
MIR106A	MIR20B	TMPO
MIR106A	MIR20B	TXNIP
MIR106A	MIR20B	VPS13B
MIR106A	MIR20B	RASSF3
MIR106A	MIR20B	STK11
MIR106A	MIR20B	ARNTL2
MIR106A	MIR20B	EGLN3
MIR106A	MIR20B	KLHL28
MIR106A	MIR20B	LMBR1
MIR106A	MIR20B	PRKAR1A
MIR106A	MIR20B	SOCS1
MIR106A	MIR20B	KMT2B
MIR106A	MIR20B	PHLDA1
MIR106A	MIR20B	RLIM
MIR106A	MIR20B	E2F1
MIR106A	MIR20B	TSG101
MIR106A	MIR20B	GLO1
MIR106A	MIR20B	TTC9
MIR106A	MIR20B	SMAD5
MIR106A	MIR20B	GAN
MIR106A	MIR20B	EIF2S1
MIR106A	MIR20B	ZNF337
MIR106A	MIR20B	KDM2A
MIR106A	MIR20B	IRF1
MIR106A	MIR20B	GIGYF1
MIR106A	MIR20B	ZFYVE26
MIR106A	MIR20B	UBR4
MIR106A	MIR20B	MAST2
MIR106A	MIR20B	LPXN
MIR106A	MIR20B	SEC14L1
MIR106A	MIR20B	CCNG2
MIR106A	MIR20B	NCOA3
MIR106A	MIR20B	ENPP5
MIR106A	MIR20B	USP3
MIR106A	MIR20B	LZIC
MIR106A	MIR20B	GSPT1
MIR106A	MIR20B	SGMS1
MIR106A	MIR20B	ZNFX1
MIR106A	MIR20B	MOB1A
MIR106A	MIR20B	NLK
MIR106A	MIR20B	MOB1B
MIR106A	MIR20B	TAGAP
MIR106A	MIR20B	FAM126B
MIR106A	MIR20B	TAOK3
MIR106A	MIR20B	UBE3C
MIR106A	MIR20B	CCND2
MIR106A	MIR20B	MAP3K8
MIR106A	MIR20B	FEM1C
MIR106A	MIR20B	ANKRD11
MIR106A	MIR20B	ZNF81
MIR106A	MIR20B	CCND1
MIR106A	MIR20B	ZC3H12C
MIR106A	MIR20B	ATG16L1
MIR106A	MIR20B	ZBTB33
MIR106A	MIR20B	NIPA1
MIR106A	MIR20B	ULK1
MIR106A	MIR20B	ANKIB1
MIR106A	MIR20B	PPP1R12B
MIR106A	MIR20B	PTPN4
MIR106A	MIR20B	RUFY2
MIR106A	MIR20B	NR2C2
MIR106A	MIR20B	DUSP2
MIR106A	MIR20B	ANKRD52
MIR106A	MIR20B	SH3RF1
MIR106A	MIR20B	NBL1
MIR106A	MIR20B	FRMPD4
MIR106A	MIR20B	JAK1
MIR106A	MIR20B	NUPL1
MIR106A	MIR20B	PRRX1
