miRNA_1	miRNA_2	target
MIR105-1	MIR105-2	ADAMTS15
MIR105-1	MIR105-2	KLHL28
MIR105-1	MIR105-2	B3GALT2
MIR105-1	MIR105-2	PTCH1
MIR105-1	MIR105-2	CCDC103
MIR105-1	MIR105-2	SP1
MIR105-1	MIR105-2	MSC
MIR105-1	MIR105-2	ZFHX4
MIR105-1	MIR105-2	ITM2B
MIR105-1	MIR105-2	C18orf25
MIR105-1	MIR105-2	SRARP
MIR105-1	MIR105-2	SMNDC1
MIR105-1	MIR105-2	OSBPL2
MIR105-1	MIR105-2	ULK2
MIR105-1	MIR105-2	KHDC4
MIR105-1	MIR105-2	WFDC10B
MIR105-1	MIR105-2	HGS
MIR105-1	MIR105-2	SUZ12
MIR105-1	MIR105-2	EHBP1
MIR105-1	MIR105-2	TMC4
MIR105-1	MIR105-2	RERG
MIR105-1	MIR105-2	TULP4
MIR105-1	MIR105-2	RAB6A
MIR105-1	MIR105-2	FAM216B
MIR105-1	MIR105-2	CXorf38
MIR105-1	MIR105-2	LYST
MIR105-1	MIR105-2	KCTD9
MIR105-1	MIR105-2	AP3M1
MIR105-1	MIR105-2	CNN3
MIR105-1	MIR105-2	SSH2
MIR105-1	MIR105-2	SVIL
MIR105-1	MIR105-2	LRPAP1
MIR105-1	MIR105-2	CHRFAM7A
MIR105-1	MIR105-2	LSM8
MIR105-1	MIR105-2	SRSF1
MIR105-1	MIR105-2	MAP2
MIR105-1	MIR105-2	PAX6
MIR105-1	MIR105-2	LMLN
MIR105-1	MIR105-2	MAPKBP1
MIR105-1	MIR105-2	POU4F1
MIR105-1	MIR105-2	SLC25A36
MIR105-1	MIR105-2	PTPRG
MIR105-1	MIR105-2	EME2
MIR105-1	MIR105-2	SRSF10
MIR105-1	MIR105-2	MYB
MIR105-1	MIR105-2	CA10
MIR105-1	MIR105-2	LNPK
MIR105-1	MIR105-2	SLC25A37
MIR105-1	MIR105-2	C16orf72
MIR105-1	MIR105-2	PDE10A
MIR105-1	MIR105-2	GFPT2
MIR105-1	MIR105-2	ETV1
MIR105-1	MIR105-2	ASF1A
MIR105-1	MIR105-2	ADCY9
MIR105-1	MIR105-2	FGL2
MIR105-1	MIR105-2	HMGA1
MIR105-1	MIR105-2	ZNF621
MIR105-1	MIR105-2	PKN2
MIR105-1	MIR105-2	RAD51B
MIR105-1	MIR105-2	SYNRG
MIR105-1	MIR105-2	DLGAP1
MIR105-1	MIR105-2	FMNL1
MIR105-1	MIR105-2	SDF2
MIR105-1	MIR105-2	SYT17
MIR105-1	MIR105-2	LRRC8B
MIR105-1	MIR105-2	KRAS
MIR105-1	MIR105-2	SNIP1
MIR105-1	MIR105-2	SGCD
MIR105-1	MIR105-2	OSBPL8
MIR105-1	MIR105-2	FAM114A1
MIR105-1	MIR105-2	MCC
MIR105-1	MIR105-2	FARP1
MIR105-1	MIR105-2	SAMD12
MIR105-1	MIR105-2	EXTL2
