miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR26A1	MIR26B	FAM98B	FAM98A
MIR26A1	MIR26B	ULK2	ULK1
MIR26A1	MIR26B	PRKCD	PRKCQ
MIR26A2	MIR26B	ACSL3	ACSL4
MIR26A2	MIR26B	TET1	TET2
MIR26A2	MIR26B	TET1	TET3
MIR26A2	MIR26B	TET2	TET3
MIR26A2	MIR26B	FAM98B	FAM98A
MIR26A2	MIR26B	ULK2	ULK1
MIR26A2	MIR26B	PRKCD	PRKCQ
MIR27A	MIR27B	PPARG	RARA
MIR27A	MIR27B	NR2F6	NR2F2
MIR27A	MIR27B	EYA1	EYA4
MIR27A	MIR27B	YWHAQ	YWHAB
MIR29A	MIR29C	TET1	TET2
MIR29A	MIR29C	TET1	TET3
MIR29A	MIR29C	TET2	TET3
MIR29A	MIR29C	LOX	LOXL2
MIR29A	MIR29C	NAV3	NAV1
MIR29A	MIR29C	NAV3	NAV2
MIR29A	MIR29C	DNMT3A	DNMT3B
MIR29A	MIR29C	COL5A1	COL11A1
MIR29A	MIR29C	NAV2	NAV1
MIR29B1	MIR29B2	TET1	TET2
MIR29B1	MIR29B2	TET1	TET3
MIR29B1	MIR29B2	COL3A1	COL1A2
MIR29B1	MIR29B2	TET2	TET3
MIR29B1	MIR29B2	COL5A2	COL1A2
MIR29B1	MIR29B2	NAV3	NAV1
MIR29B1	MIR29B2	NAV3	NAV2
MIR29B1	MIR29B2	COL5A1	COL11A1
MIR29B1	MIR29B2	NAV2	NAV1
MIR301A	MIR301B	CPEB2	CPEB3
MIR301A	MIR301B	MYT1L	ST18
MIR301A	MIR301B	MYBL1	MYB
MIR30A	MIR30E	RARG	RARB
MIR30A	MIR30E	BRWD1	BRWD3
MIR30A	MIR30E	RALB	RALA
MIR30A	MIR30E	SOS2	SOS1
MIR30A	MIR30E	PRKAA1	PRKAA2
MIR30A	MIR30E	TNRC6A	TNRC6B
MIR30A	MIR30E	LIN28B	LIN28A
MIR30A	MIR30D	RARG	RARB
MIR30A	MIR30D	BRWD1	BRWD3
MIR30A	MIR30D	RALB	RALA
MIR30A	MIR30D	PRKAA1	PRKAA2
MIR30A	MIR30D	TNRC6A	TNRC6B
MIR30A	MIR30D	LIN28B	LIN28A
MIR30E	MIR30D	RARG	RARB
MIR30E	MIR30D	BRWD1	BRWD3
MIR30E	MIR30D	RALB	RALA
MIR30E	MIR30D	PRKAA1	PRKAA2
MIR30E	MIR30D	SOCS1	SOCS3
MIR30E	MIR30D	TNRC6A	TNRC6B
MIR30E	MIR30D	LIN28B	LIN28A
MIR30B	MIR30C1	RARG	RARB
MIR30B	MIR30C1	BRWD1	BRWD3
MIR30B	MIR30C1	LIN28B	LIN28A
MIR30B	MIR30C2	RARG	RARB
MIR30B	MIR30C2	BRWD1	BRWD3
MIR30B	MIR30C2	LIN28B	LIN28A
MIR30C1	MIR30C2	RARG	RARB
MIR30C1	MIR30C2	BRWD1	BRWD3
MIR30C1	MIR30C2	SP3	SP1
MIR30C1	MIR30C2	HNRNPU	HNRNPUL1
MIR30C1	MIR30C2	LIN28B	LIN28A
MIR30C1	MIR30C2	FAM117B	GLCCI1
MIR30C1	MIR30C2	FAM117B	FAM117A
MIR30C1	MIR30C2	MIER1	MIER3
MIR30C1	MIR30C2	FAM117A	GLCCI1
MIR30C1	MIR30C2	FZD3	FZD7
MIR33A	MIR33B	PIM3	PIM1
MIR33A	MIR33B	CPEB2	CPEB3
MIR33A	MIR33B	KPNA4	KPNA3
MIR33A	MIR33B	BACH2	BACH1
MIR33A	MIR33B	HIPK2	HIPK1
MIR33A	MIR33B	CCNYL1	CCNY
MIR25	MIR363	NFIA	NFIC
MIR25	MIR363	NFIA	NFIB
MIR25	MIR363	CPEB2	CPEB3
MIR25	MIR363	CPEB2	CPEB4
MIR25	MIR363	CPEB3	CPEB4
MIR25	MIR363	NFIB	NFIC
MIR25	MIR363	FXR1	FMR1
MIR25	MIR367	NFIA	NFIB
MIR25	MIR367	CPEB2	CPEB3
MIR25	MIR367	CPEB2	CPEB4
MIR25	MIR367	CPEB3	CPEB4
MIR25	MIR367	FXR1	FMR1
MIR25	MIR367	ITGA5	ITGAV
MIR363	MIR367	NFIA	NFIB
MIR363	MIR367	CPEB2	CPEB3
MIR363	MIR367	CPEB2	CPEB4
MIR363	MIR367	CPEB3	CPEB4
MIR363	MIR367	FXR1	FMR1
MIR365A	MIR365B	SGK3	SGK1
MIR365A	MIR365B	SENP1	SENP2
MIR365A	MIR365B	ADD3	ADD1
MIR365A	MIR365B	KCNJ2	KCNJ3
MIR7-1	MIR7-3	RBMS1	RBMS3
MIR7-1	MIR7-3	IRS2	IRS1
MIR7-1	MIR7-3	PDE4D	PDE4A
MIR7-1	MIR7-3	PDE4D	PDE4B
MIR7-1	MIR7-3	PDE4A	PDE4B
MIR7-1	MIR7-2	IGLON5	OPCML
MIR7-1	MIR7-2	BRWD1	BRWD3
MIR7-1	MIR7-2	RBMS1	RBMS3
MIR7-1	MIR7-2	CPEB2	CPEB4
MIR7-1	MIR7-2	ZFHX4	ZFHX3
MIR7-1	MIR7-2	FOXN2	FOXN3
MIR7-1	MIR7-2	ARID4A	ARID4B
MIR7-1	MIR7-2	IRS2	IRS1
MIR7-1	MIR7-2	G3BP2	G3BP1
MIR7-1	MIR7-2	PDE4D	PDE4A
MIR7-1	MIR7-2	PDE4D	PDE4B
MIR7-1	MIR7-2	PDE4A	PDE4B
MIR7-1	MIR7-2	CNOT8	CNOT7
MIR7-3	MIR7-2	RBMS1	RBMS3
MIR7-3	MIR7-2	IRS2	IRS1
MIR7-3	MIR7-2	PDE4D	PDE4A
MIR7-3	MIR7-2	PDE4D	PDE4B
MIR7-3	MIR7-2	PDE4A	PDE4B
MIR92A1	MIR92A2	RNF44	RNF38
MIR92A1	MIR92A2	CPEB2	CPEB3
MIR92A1	MIR92A2	CPEB2	CPEB4
MIR92A1	MIR92A2	CPEB4	CPEB3
MIR92A1	MIR92A2	ITGA5	ITGAV
MIR92A1	MIR92B	CPEB2	CPEB3
MIR92A1	MIR92B	CPEB2	CPEB4
MIR92A1	MIR92B	CPEB4	CPEB3
MIR92A1	MIR92B	ITGA5	ITGAV
MIR92A2	MIR92B	CPEB2	CPEB3
MIR92A2	MIR92B	CPEB2	CPEB4
MIR92A2	MIR92B	CPEB4	CPEB3
MIR92A2	MIR92B	NFIX	NFIB
MIR92A2	MIR92B	ITGA5	ITGAV
MIR9-1	MIR9-2	TPD52L2	TPD52
MIR9-1	MIR9-2	POU2F1	POU2F3
MIR9-1	MIR9-2	SEC23IP	DDHD2
MIR9-1	MIR9-2	CPEB2	CPEB3
MIR9-1	MIR9-2	CPEB2	CPEB4
MIR9-1	MIR9-2	CPEB4	CPEB3
