miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR485	MIR487A	PDE10A	PDE4D
MIR485	MIR487A	ELAVL2	RBMS1
MIR485	MIR494	ZIC2	GLIS3
MIR485	MIR494	YAF2	RYBP
MIR485	MIR495	NSD2	KMT2C
MIR485	MIR539	PDE10A	PDE4D
MIR485	MIR539	ELAVL2	RBMS1
MIR485	MIR539	MTF1	SNAI2
MIR485	MIR539	UBE2Q1	UBE2E3
MIR485	MIR654	AGO1	AGO4
MIR485	MIR656	IGF2BP2	NOVA1
MIR485	MIR758	YAF2	RYBP
MIR487A	MIR487B	MOB3B	MOB1B
MIR487A	MIR487B	ZNF33A	ZNF544
MIR487A	MIR487B	SMN1	SMN2
MIR487A	MIR487B	THRB	RARB
MIR487A	MIR487B	EPB41L3	FRMD3
MIR487A	MIR487B	OLFM3	GLDN
MIR487A	MIR487B	KAT2B	BAZ2A
MIR487A	MIR487B	HACE1	NEDD4
MIR487A	MIR487B	FRMD3	EPB41L2
MIR487A	MIR496	THRB	RARB
MIR487A	MIR539	PDE10A	PDE4D
MIR487A	MIR539	ELAVL2	RBMS1
MIR487B	MIR496	THRB	RARB
MIR494	MIR656	BTAF1	ATRX
MIR494	MIR758	ATRX	BTAF1
MIR494	MIR758	YAF2	RYBP
MIR495	MIR543	KLHL5	BACH2
MIR495	MIR655	POU4F2	POU2F1
MIR495	MIR889	LAMC1	ATRN
MIR496	MIR758	IRF2BP2	MYT1L
MIR539	MIR889	PCDHA10	PCDHA4
MIR539	MIR889	SCML2	PHC3
MIR654	MIR656	ZNF275	ZNF714
MIR656	MIR758	BTAF1	ATRX
MIR758	MIR889	USP9X	USP15
MIR1283-1	MIR1283-2	SRSF1	SRSF6
MIR1283-1	MIR1283-2	ERBB4	EPHA3
MIR1283-1	MIR1283-2	LRCH4	PHLPP1
MIR1283-1	MIR1283-2	RFX3	RFX4
MIR1283-1	MIR1283-2	ATP2A2	ATP2B1
MIR1283-1	MIR516B1	ATP2B1	ATP2A2
MIR1283-1	MIR516B2	ATP2B1	ATP2A2
MIR1283-2	MIR516B1	ATP2B1	ATP2A2
MIR1283-2	MIR516B2	ATP2B1	ATP2A2
MIR1323	MIR302C	KBTBD8	KLHL28
MIR1323	MIR372	KLHL28	KLHL15
MIR1323	MIR519C	ZBTB18	ZNF148
MIR1323	MIR520F	ZBTB18	ZNF148
MIR1323	MIR525	PAK5	STK39
MIR302A	MIR302B	NR2C2	NR2F2
MIR302A	MIR302B	E2F7	E2F5
MIR302A	MIR302B	ZBTB5	ZNF367
MIR302A	MIR302B	UBE2B	UBE2W
MIR302A	MIR302B	GLIS3	AEBP2
MIR302A	MIR302B	LEFTY1	GDF11
MIR302A	MIR302B	LEFTY1	LEFTY2
MIR302A	MIR302B	MTF1	ZNF148
MIR302A	MIR302B	CUL3	CACUL1
MIR302A	MIR302B	RAB22A	RAB11A
MIR302A	MIR302B	GDF11	LEFTY2
MIR302A	MIR302B	ZBTB41	PRDM4
MIR302A	MIR302C	ELAVL2	TARDBP
MIR302A	MIR302C	ZBTB5	ZNF367
MIR302A	MIR302C	UBE2B	UBE2W
MIR302A	MIR302C	GLIS3	AEBP2
MIR302A	MIR302C	LRP1B	VLDLR
MIR302A	MIR302C	MTF1	ZNF148
MIR302A	MIR302C	HNRNPF	HNRNPH1
MIR302A	MIR302C	RAB22A	RAB11A
MIR302A	MIR302D	NR2C2	NR2F2
MIR302A	MIR302D	ELAVL2	TARDBP
MIR302A	MIR302D	ZBTB5	ZNF367
MIR302A	MIR302D	GLIS3	AEBP2
MIR302A	MIR302D	MINK1	PAK2
MIR302A	MIR302D	LEFTY1	GDF11
MIR302A	MIR302D	LEFTY1	LEFTY2
MIR302A	MIR302D	MTF1	ZNF148
MIR302A	MIR302D	RAB22A	RAB11A
MIR302A	MIR302D	GDF11	LEFTY2
MIR302A	MIR302D	ZBTB41	PRDM4
MIR302A	MIR372	ELAVL2	TARDBP
MIR302A	MIR372	ELAVL2	RBMS3
MIR302A	MIR372	E2F7	E2F5
MIR302A	MIR372	ZBTB5	ZNF367
MIR302A	MIR372	GLIS3	AEBP2
MIR302A	MIR372	TARDBP	RBMS3
MIR302A	MIR372	MTF1	ZNF148
MIR302A	MIR372	GDF11	LEFTY2
MIR302A	MIR372	ZBTB41	PRDM4
MIR302A	MIR373	ELAVL2	TARDBP
MIR302A	MIR373	E2F7	E2F5
MIR302A	MIR373	ZBTB5	ZNF367
MIR302A	MIR373	UBE2B	UBE2W
MIR302A	MIR373	MINK1	PAK2
MIR302A	MIR373	LEFTY1	GDF11
MIR302A	MIR373	LEFTY1	LEFTY2
MIR302A	MIR373	MTF1	ZNF148
MIR302A	MIR373	CUL3	CACUL1
MIR302A	MIR373	RAB22A	RAB11A
MIR302A	MIR373	GDF11	LEFTY2
MIR302A	MIR373	ZBTB41	PRDM4
