miRNA_1	miRNA_2	target
MIR103A1	MIR103A2	MAPK9
MIR103A1	MIR103A2	RCAN1
MIR103A1	MIR103A2	COG8
MIR103A1	MIR103A2	BAZ2A
MIR103A1	MIR103A2	DLAT
MIR103A1	MIR103A2	PIK3CG
MIR103A1	MIR103A2	RAB11B
MIR103A1	MIR103A2	FLOT2
MIR103A1	MIR103A2	HK1
MIR103A1	MIR103A2	FEN1
MIR103A1	MIR103A2	PURB
MIR103A1	MIR103A2	NCL
MIR103A1	MIR103A2	JUN
MIR103A1	MIR103A2	SLC52A2
MIR103A1	MIR103A2	EIF5
MIR103A1	MIR103A2	TLN1
MIR103A1	MIR103A2	COPB1
MIR103A1	MIR103A2	PRKAR2B
MIR103A1	MIR103A2	ARCN1
MIR103A1	MIR103A2	CFL1
MIR103A1	MIR103A2	DNAJB4
MIR103A1	MIR103A2	FANCF
MIR103A1	MIR103A2	PTGFRN
MIR103A1	MIR103A2	PTAR1
MIR103A1	MIR103A2	PABPN1
MIR103A1	MIR103A2	NOTCH2
MIR103A1	MIR103A2	CD59
MIR103A1	MIR103A2	ZNF687
MIR103A1	MIR103A2	NRBP1
MIR103A1	MIR103A2	ENHO
MIR103A1	MIR103A2	SCAMP2
MIR103A1	MIR103A2	TNFRSF21
MIR103A1	MIR103A2	ST6GAL1
MIR103A1	MIR103A2	MBOAT2
MIR103A1	MIR103A2	TCIRG1
MIR103A1	MIR103A2	SPAG9
MIR103A1	MIR103A2	MGAT2
MIR103A1	MIR103A2	PAWR
MIR103A1	MIR103A2	ZBED4
MIR103A1	MIR103A2	UBE2T
MIR103A1	MIR103A2	MAT2B
MIR103A1	MIR103A2	TCP1
MIR103A1	MIR103A2	RAI14
MIR103A1	MIR103A2	UBR3
MIR103A1	MIR103A2	RNPEPL1
MIR103A1	MIR103A2	TIE1
MIR103A1	MIR103A2	FBXW7
MIR103A1	MIR103A2	PRKCSH
MIR103A1	MIR103A2	ARL2
MIR103A1	MIR103A2	CHD2
MIR103A1	MIR103A2	SEC22C
MIR103A1	MIR103A2	SNX6
MIR103A1	MIR103A2	UBE2J1
MIR103A1	MIR103A2	FGF2
MIR103A1	MIR103A2	KPNA1
MIR103A1	MIR103A2	ADI1
MIR103A1	MIR103A2	CDR2L
MIR103A1	MIR103A2	KCTD12
MIR103A1	MIR103A2	MAST2
MIR103A1	MIR103A2	TTC31
