miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR320B2	MIR320C2	PCDHA10	PCDHA13
MIR320B2	MIR320C2	PCDHA10	PCDHA11
MIR320B2	MIR320C2	PCDHA10	PCDHA12
MIR320B2	MIR320C2	PCDHA12	PCDHA4
MIR320B2	MIR320C2	PCDHA4	PCDHA1
MIR320C1	MIR320C2	YWHAH	YWHAQ
MIR320C1	MIR320C2	YWHAH	YWHAZ
MIR320C1	MIR320C2	PCDHAC1	PCDHA10
MIR320C1	MIR320C2	PCDHA7	PCDHA4
MIR320C1	MIR320C2	PCDHA7	PCDHA10
MIR320C1	MIR320C2	PCDHA9	PCDHA4
MIR320C1	MIR320C2	PCDHA9	PCDHA10
MIR320C1	MIR320C2	PCDHA9	PCDHA3
MIR320C1	MIR320C2	PCDHA3	PCDHA6
MIR320C1	MIR320C2	PCDHA3	PCDHA1
MIR320C1	MIR320C2	PCDHA3	PCDHA11
MIR320C1	MIR320C2	PCDHA3	PCDHA10
MIR320C1	MIR320C2	PCDHA10	PCDHA6
MIR320C1	MIR320C2	PCDHA10	PCDHA8
MIR320C1	MIR320C2	PCDHA10	PCDHA5
MIR320C1	MIR320C2	PCDHA10	PCDHA4
MIR320C1	MIR320C2	PCDHA10	PCDHA2
MIR320C1	MIR320C2	PCDHA10	PCDHA13
MIR320C1	MIR320C2	PCDHA10	PCDHA11
MIR320C1	MIR320C2	PCDHA10	PCDHA12
MIR320C1	MIR320C2	PCDHA12	PCDHA4
MIR320C1	MIR320C2	PCDHA4	PCDHA1
MIR337	not_found	not_in_G	not_in_G
not_found	MIR376A1	not_in_G	not_in_G
not_found	MIR376A2	not_in_G	not_in_G
not_found	MIR376B	not_in_G	not_in_G
not_found	MIR376C	not_in_G	not_in_G
not_found	MIR506	not_in_G	not_in_G
not_found	MIR507	not_in_G	not_in_G
not_found	MIR508	not_in_G	not_in_G
not_found	MIR509-1	not_in_G	not_in_G
not_found	MIR509-2	not_in_G	not_in_G
not_found	MIR509-3	not_in_G	not_in_G
not_found	MIR510	not_in_G	not_in_G
not_found	MIR513A1	not_in_G	not_in_G
